latitude,longitude,created_at_datetime,forecast_datetime,summary,icon,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,windSpeed,windBearing,visibility,cloudCover,pressure,ozone
51.510357,-0.116773,2016-02-20T14:00:00+0000,2016-02-20T00:00:00+0000,Overcast,cloudy,,,9.28,6.42,7.76,0.9,5.73,227.0,9.99,1.0,1008.86,
51.510357,-0.116773,2016-02-20T14:00:00+0000,2016-02-20T01:00:00+0000,Clear,clear-night,,,9.33,6.46,8.19,0.93,5.82,238.0,10.33,,1008.74,
51.510357,-0.116773,2016-02-20T14:00:00+0000,2016-02-20T02:00:00+0000,Clear,clear-night,,,9.35,6.53,8.16,0.92,5.65,241.0,12.49,,1008.3,
51.510357,-0.116773,2016-02-20T14:00:00+0000,2016-02-20T03:00:00+0000,Clear,clear-night,,,9.34,6.36,7.6,0.89,6.12,250.0,12.71,,1008.36,
51.510357,-0.116773,2016-02-20T14:00:00+0000,2016-02-20T04:00:00+0000,Clear,clear-night,,,9.63,6.89,6.78,0.82,5.63,252.0,12.71,0.0,1008.61,
51.510357,-0.116773,2016-02-20T14:00:00+0000,2016-02-20T05:00:00+0000,Clear,clear-night,,,9.14,6.36,6.23,0.82,5.4,254.0,12.71,0.0,1009.04,
51.510357,-0.116773,2016-02-20T14:00:00+0000,2016-02-20T06:00:00+0000,Clear,clear-night,,,8.74,5.74,6.13,0.84,5.71,251.0,13.49,,1009.65,
51.510357,-0.116773,2016-02-20T14:00:00+0000,2016-02-20T07:00:00+0000,Mostly Cloudy,partly-cloudy-night,,,8.66,5.87,5.78,0.82,5.11,244.0,12.67,0.75,1009.71,
51.510357,-0.116773,2016-02-20T14:00:00+0000,2016-02-20T08:00:00+0000,Mostly Cloudy,partly-cloudy-day,,,8.76,5.91,6.25,0.84,5.34,240.0,12.36,0.75,1009.95,
51.510357,-0.116773,2016-02-20T14:00:00+0000,2016-02-20T09:00:00+0000,Mostly Cloudy,partly-cloudy-day,,,9.77,6.86,7.07,0.83,6.28,249.0,12.07,0.75,1010.38,
51.510357,-0.116773,2016-02-20T14:00:00+0000,2016-02-20T10:00:00+0000,Mostly Cloudy,partly-cloudy-day,,,10.39,10.39,5.73,0.73,7.31,251.0,12.07,0.75,1010.78,
51.510357,-0.116773,2016-02-20T14:00:00+0000,2016-02-20T11:00:00+0000,Mostly Cloudy,partly-cloudy-day,,,11.34,11.34,5.25,0.66,7.37,252.0,12.1,0.75,1010.76,
51.510357,-0.116773,2016-02-20T14:00:00+0000,2016-02-20T12:00:00+0000,Mostly Cloudy,partly-cloudy-day,,,11.39,11.39,4.98,0.65,7.51,247.0,12.02,0.75,1010.51,
51.510357,-0.116773,2016-02-20T14:00:00+0000,2016-02-20T13:00:00+0000,Overcast,cloudy,,,10.73,10.73,7.44,0.8,7.43,240.0,8.32,1.0,1009.59,
51.510357,-0.116773,2016-02-20T14:00:00+0000,2016-02-20T14:00:00+0000,Overcast,cloudy,,,10.01,10.01,8.86,0.93,7.43,239.0,8.72,1.0,1008.89,
51.510357,-0.116773,2016-02-20T14:00:00+0000,2016-02-20T15:00:00+0000,Overcast,cloudy,,,10.51,10.51,9.51,0.94,8.03,241.0,9.87,1.0,1008.27,
51.510357,-0.116773,2016-02-20T14:00:00+0000,2016-02-20T16:00:00+0000,Overcast,cloudy,,,11.02,11.02,9.9,0.93,8.82,245.0,10.57,1.0,1007.89,
51.510357,-0.116773,2016-02-20T14:00:00+0000,2016-02-20T17:00:00+0000,Overcast,cloudy,,,11.61,11.61,10.3,0.92,8.94,252.0,10.24,1.0,1007.41,
51.510357,-0.116773,2016-02-20T14:00:00+0000,2016-02-20T18:00:00+0000,Overcast,cloudy,,,11.64,11.64,9.97,0.89,9.43,256.0,10.67,1.0,1007.86,
51.510357,-0.116773,2016-02-20T14:00:00+0000,2016-02-20T19:00:00+0000,Breezy and Overcast,wind,,,11.67,11.67,9.95,0.89,10.09,254.0,10.93,1.0,1008.12,
51.510357,-0.116773,2016-02-20T14:00:00+0000,2016-02-20T20:00:00+0000,Breezy,wind,,,12.41,12.41,9.39,0.82,9.88,254.0,12.3,,1008.48,
51.510357,-0.116773,2016-02-20T14:00:00+0000,2016-02-20T21:00:00+0000,Breezy,wind,,,12.07,12.07,8.89,0.81,9.65,259.0,12.71,,1009.22,
51.510357,-0.116773,2016-02-20T14:00:00+0000,2016-02-20T22:00:00+0000,Clear,clear-night,,,12.06,12.06,8.91,0.81,9.17,255.0,12.71,,1009.89,
51.510357,-0.116773,2016-02-20T14:00:00+0000,2016-02-20T23:00:00+0000,Clear,clear-night,,,12.11,12.11,8.88,0.81,8.15,253.0,12.71,,1010.28,
