latitude,longitude,created_at_datetime,forecast_datetime,summary,icon,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,windSpeed,windBearing,visibility,cloudCover,pressure,ozone
51.510357,-0.116773,2016-02-11T14:00:00+0000,2016-02-11T00:00:00+0000,Clear,clear-night,,,2.25,0.7,0.15,0.86,1.58,237.0,12.17,0.0,1004.16,
51.510357,-0.116773,2016-02-11T14:00:00+0000,2016-02-11T01:00:00+0000,Clear,clear-night,,,1.23,-0.66,0.07,0.92,1.72,245.0,11.52,0.0,1004.46,
51.510357,-0.116773,2016-02-11T14:00:00+0000,2016-02-11T02:00:00+0000,Clear,clear-night,,,0.87,-1.03,-0.32,0.92,1.69,245.0,11.76,0.07,1004.77,
51.510357,-0.116773,2016-02-11T14:00:00+0000,2016-02-11T03:00:00+0000,Clear,clear-night,,,0.41,0.41,-0.34,0.95,1.14,246.0,11.72,0.06,1004.84,
51.510357,-0.116773,2016-02-11T14:00:00+0000,2016-02-11T04:00:00+0000,Clear,clear-night,,,0.37,0.37,-0.39,0.95,1.29,239.0,11.7,0.14,1004.64,
51.510357,-0.116773,2016-02-11T14:00:00+0000,2016-02-11T05:00:00+0000,Clear,clear-night,,,0.22,0.22,-0.46,0.95,1.15,239.0,11.8,0.0,1004.63,
51.510357,-0.116773,2016-02-11T14:00:00+0000,2016-02-11T06:00:00+0000,Clear,clear-night,,,0.52,0.52,-0.59,0.92,1.21,232.0,12.07,0.0,1004.65,
51.510357,-0.116773,2016-02-11T14:00:00+0000,2016-02-11T07:00:00+0000,Clear,clear-night,,,0.11,0.11,-0.57,0.95,1.32,210.0,11.93,0.09,1004.6,
51.510357,-0.116773,2016-02-11T14:00:00+0000,2016-02-11T08:00:00+0000,Clear,clear-day,,,0.25,-1.59,-0.41,0.95,1.58,208.0,11.51,0.11,1004.9,
51.510357,-0.116773,2016-02-11T14:00:00+0000,2016-02-11T09:00:00+0000,Clear,clear-day,,,1.09,1.09,0.37,0.95,0.52,231.0,11.02,0.11,1005.14,
51.510357,-0.116773,2016-02-11T14:00:00+0000,2016-02-11T10:00:00+0000,Clear,clear-day,,,3.43,3.43,2.25,0.92,0.73,218.0,10.96,0.09,1004.97,
51.510357,-0.116773,2016-02-11T14:00:00+0000,2016-02-11T11:00:00+0000,Clear,clear-day,,,6.41,5.7,0.83,0.68,1.38,216.0,12.38,0.11,1004.77,
51.510357,-0.116773,2016-02-11T14:00:00+0000,2016-02-11T12:00:00+0000,Clear,clear-day,,,7.46,6.07,1.37,0.65,2.18,216.0,12.15,0.0,1004.5,
51.510357,-0.116773,2016-02-11T14:00:00+0000,2016-02-11T13:00:00+0000,Partly Cloudy,partly-cloudy-day,,,7.77,6.08,1.08,0.63,2.63,233.0,12.15,0.32,1003.94,
51.510357,-0.116773,2016-02-11T14:00:00+0000,2016-02-11T14:00:00+0000,Partly Cloudy,partly-cloudy-day,,,8.11,6.28,0.0,0.57,2.93,239.0,12.15,0.39,1003.55,
51.510357,-0.116773,2016-02-11T14:00:00+0000,2016-02-11T15:00:00+0000,Partly Cloudy,partly-cloudy-day,,,7.67,6.09,-0.45,0.56,2.46,239.0,12.15,0.31,1003.26,
51.510357,-0.116773,2016-02-11T14:00:00+0000,2016-02-11T16:00:00+0000,Clear,clear-day,,,7.54,6.38,-0.84,0.55,1.94,246.0,12.15,0.16,1003.04,
51.510357,-0.116773,2016-02-11T14:00:00+0000,2016-02-11T17:00:00+0000,Clear,clear-day,,,6.27,5.38,-0.81,0.6,1.52,210.0,12.15,0.22,1002.98,
51.510357,-0.116773,2016-02-11T14:00:00+0000,2016-02-11T18:00:00+0000,Clear,clear-night,,,4.89,3.15,-0.73,0.67,2.08,204.0,13.04,0.16,1003.28,
51.510357,-0.116773,2016-02-11T14:00:00+0000,2016-02-11T19:00:00+0000,Mostly Cloudy,partly-cloudy-night,,,5.12,3.11,-0.68,0.66,2.43,192.0,12.42,0.75,1003.14,
51.510357,-0.116773,2016-02-11T14:00:00+0000,2016-02-11T20:00:00+0000,Clear,clear-night,,,4.78,2.86,-0.03,0.71,2.25,177.0,12.25,0.13,1002.8,
51.510357,-0.116773,2016-02-11T14:00:00+0000,2016-02-11T21:00:00+0000,Clear,clear-night,,,3.81,1.61,0.82,0.81,2.36,178.0,13.7,0.11,1002.39,
51.510357,-0.116773,2016-02-11T14:00:00+0000,2016-02-11T22:00:00+0000,Clear,clear-night,,,3.68,2.01,0.79,0.81,1.84,181.0,12.49,0.13,1001.98,
51.510357,-0.116773,2016-02-11T14:00:00+0000,2016-02-11T23:00:00+0000,Clear,clear-night,,,3.23,1.41,0.87,0.84,1.92,158.0,12.47,0.08,1001.02,
