latitude,longitude,created_at_datetime,forecast_datetime,summary,icon,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,windSpeed,windBearing,visibility,cloudCover,pressure,ozone
51.510357,-0.116773,2016-03-03T14:00:00+0000,2016-03-03T00:00:00+0000,Overcast,cloudy,,,6.44,2.03,2.18,0.74,8.06,279.0,12.71,1.0,999.31,
51.510357,-0.116773,2016-03-03T14:00:00+0000,2016-03-03T01:00:00+0000,Clear,clear-night,,,6.33,1.75,2.56,0.77,8.51,283.0,12.05,,999.23,
51.510357,-0.116773,2016-03-03T14:00:00+0000,2016-03-03T02:00:00+0000,Clear,clear-night,,,6.32,1.71,2.19,0.75,8.58,289.0,12.2,,999.37,
51.510357,-0.116773,2016-03-03T14:00:00+0000,2016-03-03T03:00:00+0000,Breezy,wind,,,6.26,1.56,1.34,0.71,8.88,303.0,12.71,,999.84,
51.510357,-0.116773,2016-03-03T14:00:00+0000,2016-03-03T04:00:00+0000,Breezy,wind,,,5.76,0.92,-0.68,0.63,8.79,314.0,12.71,,1001.18,
51.510357,-0.116773,2016-03-03T14:00:00+0000,2016-03-03T05:00:00+0000,Clear,clear-night,,,5.14,0.58,0.09,0.7,7.3,323.0,12.84,,1002.64,
51.510357,-0.116773,2016-03-03T14:00:00+0000,2016-03-03T06:00:00+0000,Clear,clear-night,,,4.58,0.23,0.57,0.75,6.34,327.0,12.71,,1004.09,
51.510357,-0.116773,2016-03-03T14:00:00+0000,2016-03-03T07:00:00+0000,Clear,clear-day,,,3.93,-0.25,0.0,0.76,5.52,315.0,12.15,0.13,1005.45,
51.510357,-0.116773,2016-03-03T14:00:00+0000,2016-03-03T08:00:00+0000,Clear,clear-day,,,4.06,0.19,-0.06,0.75,4.93,307.0,12.15,0.11,1006.4,
51.510357,-0.116773,2016-03-03T14:00:00+0000,2016-03-03T09:00:00+0000,Clear,clear-day,,,4.39,0.53,-0.28,0.72,5.08,314.0,12.42,0.13,1006.95,
51.510357,-0.116773,2016-03-03T14:00:00+0000,2016-03-03T10:00:00+0000,Clear,clear-day,,,6.26,3.32,0.06,0.64,4.16,312.0,12.15,0.11,1007.44,
51.510357,-0.116773,2016-03-03T14:00:00+0000,2016-03-03T11:00:00+0000,Partly Cloudy,partly-cloudy-day,,,7.43,4.86,0.21,0.6,3.96,295.0,12.15,0.31,1007.43,
51.510357,-0.116773,2016-03-03T14:00:00+0000,2016-03-03T12:00:00+0000,Partly Cloudy,partly-cloudy-day,,,7.71,5.27,-0.88,0.55,3.82,274.0,12.15,0.31,1007.05,
51.510357,-0.116773,2016-03-03T14:00:00+0000,2016-03-03T13:00:00+0000,Partly Cloudy,partly-cloudy-day,,,8.58,6.2,-1.18,0.5,4.14,262.0,12.15,0.39,1006.45,
51.510357,-0.116773,2016-03-03T14:00:00+0000,2016-03-03T14:00:00+0000,Partly Cloudy,partly-cloudy-day,,,9.11,6.53,-0.37,0.51,4.85,250.0,12.15,0.52,1005.97,
51.510357,-0.116773,2016-03-03T14:00:00+0000,2016-03-03T15:00:00+0000,Mostly Cloudy,partly-cloudy-day,,,8.86,6.36,1.34,0.59,4.52,250.0,12.15,0.75,1005.35,
51.510357,-0.116773,2016-03-03T14:00:00+0000,2016-03-03T16:00:00+0000,Mostly Cloudy,partly-cloudy-day,,,8.13,5.77,1.83,0.64,3.85,236.0,12.15,0.75,1004.97,
51.510357,-0.116773,2016-03-03T14:00:00+0000,2016-03-03T17:00:00+0000,Mostly Cloudy,partly-cloudy-day,,,7.98,5.72,2.19,0.67,3.62,220.0,12.15,0.75,1004.0,
51.510357,-0.116773,2016-03-03T14:00:00+0000,2016-03-03T18:00:00+0000,Partly Cloudy,partly-cloudy-night,,,7.29,5.03,2.3,0.71,3.36,202.0,12.15,0.39,1003.74,
51.510357,-0.116773,2016-03-03T14:00:00+0000,2016-03-03T19:00:00+0000,Partly Cloudy,partly-cloudy-night,,,6.83,4.27,2.63,0.75,3.7,184.0,13.79,0.39,1002.56,
51.510357,-0.116773,2016-03-03T14:00:00+0000,2016-03-03T20:00:00+0000,Partly Cloudy,partly-cloudy-night,,,6.44,3.44,2.69,0.77,4.37,183.0,13.79,0.32,1001.35,
51.510357,-0.116773,2016-03-03T14:00:00+0000,2016-03-03T21:00:00+0000,Clear,clear-night,,,6.48,3.64,2.82,0.77,4.07,177.0,13.29,0.0,999.95,
51.510357,-0.116773,2016-03-03T14:00:00+0000,2016-03-03T22:00:00+0000,Clear,clear-night,,,6.51,3.08,3.27,0.8,5.33,165.0,11.56,0.0,997.87,
51.510357,-0.116773,2016-03-03T14:00:00+0000,2016-03-03T23:00:00+0000,Clear,clear-night,,,6.53,2.93,4.54,0.87,5.77,167.0,9.32,,995.71,
