latitude,longitude,created_at_datetime,forecast_datetime,summary,icon,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,windSpeed,windBearing,visibility,cloudCover,pressure,ozone
51.510357,-0.116773,2016-03-27T14:00:00+0000,2016-03-27T00:00:00+0000,Clear,clear-night,,,7.88,5.27,5.73,0.86,4.26,213.0,13.23,0.0,999.75,
51.510357,-0.116773,2016-03-27T14:00:00+0000,2016-03-27T01:00:00+0000,Clear,clear-night,,,7.35,4.78,5.07,0.85,3.93,210.0,13.58,0.0,1000.77,
51.510357,-0.116773,2016-03-27T14:00:00+0000,2016-03-27T02:00:00+0000,Clear,clear-night,,,6.82,4.23,4.65,0.86,3.74,206.0,13.31,0.0,1000.71,
51.510357,-0.116773,2016-03-27T14:00:00+0000,2016-03-27T03:00:00+0000,Clear,clear-night,,,6.78,4.02,4.71,0.87,4.05,203.0,13.05,0.0,1000.53,
51.510357,-0.116773,2016-03-27T14:00:00+0000,2016-03-27T04:00:00+0000,Clear,clear-night,,,6.34,3.51,4.41,0.87,4.01,192.0,13.28,0.0,1000.81,
51.510357,-0.116773,2016-03-27T14:00:00+0000,2016-03-27T05:00:00+0000,Clear,clear-night,,,6.34,3.09,4.51,0.88,4.84,190.0,13.28,0.0,1000.9,
51.510357,-0.116773,2016-03-27T14:00:00+0000,2016-03-27T06:00:00+0000,Partly Cloudy,partly-cloudy-day,,,6.46,2.91,4.59,0.88,5.57,198.0,11.39,0.52,1001.02,
51.510357,-0.116773,2016-03-27T14:00:00+0000,2016-03-27T07:00:00+0000,Mostly Cloudy,partly-cloudy-day,,,6.81,3.66,5.19,0.89,4.86,196.0,13.0,0.75,1001.22,
51.510357,-0.116773,2016-03-27T14:00:00+0000,2016-03-27T08:00:00+0000,Partly Cloudy,partly-cloudy-day,,,7.51,3.97,5.71,0.88,6.29,204.0,12.7,0.31,1001.25,
51.510357,-0.116773,2016-03-27T14:00:00+0000,2016-03-27T09:00:00+0000,Mostly Cloudy,partly-cloudy-day,,,8.77,5.2,5.69,0.81,7.52,208.0,12.7,0.75,1001.16,
51.510357,-0.116773,2016-03-27T14:00:00+0000,2016-03-27T10:00:00+0000,Mostly Cloudy,partly-cloudy-day,,,10.58,10.58,7.53,0.81,8.52,207.0,9.82,0.75,1000.89,
51.510357,-0.116773,2016-03-27T14:00:00+0000,2016-03-27T11:00:00+0000,Mostly Cloudy,partly-cloudy-day,,,6.86,2.63,4.49,0.85,7.85,210.0,11.62,0.75,1001.13,
51.510357,-0.116773,2016-03-27T14:00:00+0000,2016-03-27T12:00:00+0000,Mostly Cloudy,partly-cloudy-day,,,9.01,5.25,5.87,0.81,8.51,209.0,11.7,0.75,1000.86,
51.510357,-0.116773,2016-03-27T14:00:00+0000,2016-03-27T13:00:00+0000,Mostly Cloudy,partly-cloudy-day,,,9.12,5.26,5.66,0.79,9.08,220.0,12.05,0.75,1000.77,
51.510357,-0.116773,2016-03-27T14:00:00+0000,2016-03-27T14:00:00+0000,Partly Cloudy,partly-cloudy-day,,,9.34,5.5,5.17,0.75,9.29,219.0,11.7,0.31,1000.39,
51.510357,-0.116773,2016-03-27T14:00:00+0000,2016-03-27T15:00:00+0000,Mostly Cloudy,partly-cloudy-day,,,10.99,10.99,5.08,0.67,9.72,213.0,12.15,0.75,999.83,
51.510357,-0.116773,2016-03-27T14:00:00+0000,2016-03-27T16:00:00+0000,Mostly Cloudy,partly-cloudy-day,,,10.63,10.63,4.65,0.67,9.38,211.0,12.02,0.75,999.54,
51.510357,-0.116773,2016-03-27T14:00:00+0000,2016-03-27T17:00:00+0000,Mostly Cloudy,partly-cloudy-day,,,9.71,6.13,4.38,0.69,8.63,209.0,12.15,0.75,999.39,
51.510357,-0.116773,2016-03-27T14:00:00+0000,2016-03-27T18:00:00+0000,Mostly Cloudy,partly-cloudy-day,,,8.99,5.68,5.19,0.77,6.91,209.0,10.14,0.75,999.26,
51.510357,-0.116773,2016-03-27T14:00:00+0000,2016-03-27T19:00:00+0000,Mostly Cloudy,partly-cloudy-night,,,8.52,5.59,5.77,0.83,5.35,196.0,11.89,0.75,998.5,
51.510357,-0.116773,2016-03-27T14:00:00+0000,2016-03-27T20:00:00+0000,Clear,clear-night,,,7.34,3.95,5.52,0.88,5.78,188.0,12.31,0.0,997.65,
51.510357,-0.116773,2016-03-27T14:00:00+0000,2016-03-27T21:00:00+0000,Clear,clear-night,,,8.1,5.06,6.52,0.9,5.39,179.0,11.6,,996.18,
51.510357,-0.116773,2016-03-27T14:00:00+0000,2016-03-27T22:00:00+0000,Clear,clear-night,,,8.16,4.67,7.03,0.93,6.69,166.0,9.29,,993.98,
