latitude,longitude,created_at_datetime,forecast_datetime,summary,icon,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,windSpeed,windBearing,visibility,cloudCover,pressure,ozone
51.510357,-0.116773,2016-04-02T14:00:00+0000,2016-04-01T23:00:00+0000,Clear,clear-night,,,8.49,6.63,3.59,0.71,3.12,158.0,12.7,0.0,1016.45,
51.510357,-0.116773,2016-04-02T14:00:00+0000,2016-04-02T00:00:00+0000,Clear,clear-night,,,8.86,6.98,3.33,0.68,3.25,162.0,12.94,0.0,1016.11,
51.510357,-0.116773,2016-04-02T14:00:00+0000,2016-04-02T01:00:00+0000,Clear,clear-night,,,8.88,6.98,3.44,0.69,3.31,170.0,12.94,0.0,1015.68,
51.510357,-0.116773,2016-04-02T14:00:00+0000,2016-04-02T02:00:00+0000,Clear,clear-night,,,8.86,7.07,3.53,0.69,3.13,163.0,13.04,0.0,1015.09,
51.510357,-0.116773,2016-04-02T14:00:00+0000,2016-04-02T03:00:00+0000,Clear,clear-night,,,8.52,6.79,3.36,0.7,2.9,170.0,13.04,0.0,1014.61,
51.510357,-0.116773,2016-04-02T14:00:00+0000,2016-04-02T04:00:00+0000,Clear,clear-night,,,8.44,6.64,3.88,0.73,3.0,162.0,13.04,0.0,1014.22,
51.510357,-0.116773,2016-04-02T14:00:00+0000,2016-04-02T05:00:00+0000,Clear,clear-night,,,8.43,6.63,4.6,0.77,3.0,159.0,12.89,0.0,1014.12,
51.510357,-0.116773,2016-04-02T14:00:00+0000,2016-04-02T06:00:00+0000,Partly Cloudy,partly-cloudy-day,,,8.48,6.77,5.08,0.79,2.87,160.0,13.63,0.26,1014.14,
51.510357,-0.116773,2016-04-02T14:00:00+0000,2016-04-02T07:00:00+0000,Partly Cloudy,partly-cloudy-day,,,9.12,7.31,5.28,0.77,3.24,162.0,13.37,0.26,1014.14,
51.510357,-0.116773,2016-04-02T14:00:00+0000,2016-04-02T08:00:00+0000,Partly Cloudy,partly-cloudy-day,,,10.08,10.08,3.91,0.65,4.21,169.0,13.92,0.26,1014.11,
51.510357,-0.116773,2016-04-02T14:00:00+0000,2016-04-02T09:00:00+0000,Clear,clear-day,,,11.6,11.6,2.9,0.55,4.71,179.0,13.45,0.11,1014.07,
51.510357,-0.116773,2016-04-02T14:00:00+0000,2016-04-02T10:00:00+0000,Clear,clear-day,,,12.62,12.62,2.21,0.49,5.5,185.0,12.54,0.11,1014.02,
51.510357,-0.116773,2016-04-02T14:00:00+0000,2016-04-02T11:00:00+0000,Clear,clear-day,,,14.01,14.01,2.48,0.46,5.57,188.0,12.15,0.11,1013.52,
51.510357,-0.116773,2016-04-02T14:00:00+0000,2016-04-02T12:00:00+0000,Clear,clear-day,,,14.47,14.47,2.11,0.43,4.75,173.0,12.39,0.08,1012.84,
51.510357,-0.116773,2016-04-02T14:00:00+0000,2016-04-02T13:00:00+0000,Clear,clear-day,,,14.21,14.21,1.21,0.41,4.32,164.0,12.89,0.18,1012.23,
51.510357,-0.116773,2016-04-02T14:00:00+0000,2016-04-02T14:00:00+0000,Clear,clear-day,,,14.64,14.64,1.16,0.4,4.09,153.0,13.62,0.16,1011.09,
51.510357,-0.116773,2016-04-02T14:00:00+0000,2016-04-02T15:00:00+0000,Clear,clear-day,,,13.99,13.99,1.07,0.41,3.93,141.0,13.79,0.16,1010.27,
51.510357,-0.116773,2016-04-02T14:00:00+0000,2016-04-02T16:00:00+0000,Clear,clear-day,,,13.04,13.04,3.09,0.51,4.08,123.0,12.39,0.15,1009.48,
51.510357,-0.116773,2016-04-02T14:00:00+0000,2016-04-02T17:00:00+0000,Partly Cloudy,partly-cloudy-day,,,10.97,10.97,4.78,0.66,4.25,134.0,10.62,0.32,1009.64,
51.510357,-0.116773,2016-04-02T14:00:00+0000,2016-04-02T18:00:00+0000,Partly Cloudy,partly-cloudy-day,,,9.36,7.43,6.41,0.82,3.56,131.0,7.92,0.52,1009.78,
51.510357,-0.116773,2016-04-02T14:00:00+0000,2016-04-02T19:00:00+0000,Clear,clear-night,,,8.04,6.23,6.55,0.9,2.9,99.0,5.1,,,
51.510357,-0.116773,2016-04-02T14:00:00+0000,2016-04-02T20:00:00+0000,Clear,clear-night,,,8.04,6.08,6.55,0.9,3.12,92.0,4.7,,,
51.510357,-0.116773,2016-04-02T14:00:00+0000,2016-04-02T21:00:00+0000,Clear,clear-night,,,7.98,6.26,7.32,0.96,2.74,81.0,3.4,0.0,1008.44,
51.510357,-0.116773,2016-04-02T14:00:00+0000,2016-04-02T22:00:00+0000,Foggy,fog,,,8.02,6.22,7.47,0.96,2.87,88.0,2.78,0.0,1007.55,
