latitude,longitude,created_at_datetime,forecast_datetime,summary,icon,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,windSpeed,windBearing,visibility,cloudCover,pressure,ozone
51.510357,-0.116773,2016-02-04T14:00:00+0000,2016-02-04T00:00:00+0000,Clear,clear-night,,,4.22,1.04,1.52,0.83,3.76,244.0,13.04,0.0,1028.4,
51.510357,-0.116773,2016-02-04T14:00:00+0000,2016-02-04T01:00:00+0000,Clear,clear-night,,,4.3,0.87,1.71,0.83,4.22,240.0,12.94,0.0,1027.69,
51.510357,-0.116773,2016-02-04T14:00:00+0000,2016-02-04T02:00:00+0000,Clear,clear-night,,,4.88,1.44,2.12,0.82,4.49,234.0,12.99,0.0,1027.07,
51.510357,-0.116773,2016-02-04T14:00:00+0000,2016-02-04T03:00:00+0000,Clear,clear-night,,,5.32,1.92,1.79,0.78,4.63,228.0,12.84,0.0,1025.93,
51.510357,-0.116773,2016-02-04T14:00:00+0000,2016-02-04T04:00:00+0000,Clear,clear-night,,,5.81,2.24,2.33,0.78,5.25,231.0,11.44,0.0,1024.32,
51.510357,-0.116773,2016-02-04T14:00:00+0000,2016-02-04T05:00:00+0000,Clear,clear-night,,,5.74,1.96,3.63,0.86,5.71,234.0,12.46,,1023.11,
51.510357,-0.116773,2016-02-04T14:00:00+0000,2016-02-04T06:00:00+0000,Mostly Cloudy,partly-cloudy-night,,,7.68,3.97,5.28,0.85,6.96,250.0,12.5,0.75,1022.22,
51.510357,-0.116773,2016-02-04T14:00:00+0000,2016-02-04T07:00:00+0000,Mostly Cloudy,partly-cloudy-night,,,8.64,5.03,6.77,0.88,7.54,259.0,10.72,0.75,1022.28,
51.510357,-0.116773,2016-02-04T14:00:00+0000,2016-02-04T08:00:00+0000,Partly Cloudy,partly-cloudy-day,,,8.8,5.44,7.14,0.89,6.86,259.0,12.15,0.39,1022.59,
51.510357,-0.116773,2016-02-04T14:00:00+0000,2016-02-04T09:00:00+0000,Mostly Cloudy,partly-cloudy-day,,,9.49,6.41,7.66,0.88,6.57,263.0,12.15,0.75,1023.02,
51.510357,-0.116773,2016-02-04T14:00:00+0000,2016-02-04T10:00:00+0000,Mostly Cloudy,partly-cloudy-day,,,10.58,10.58,7.79,0.83,7.01,267.0,12.15,0.75,1023.49,
51.510357,-0.116773,2016-02-04T14:00:00+0000,2016-02-04T11:00:00+0000,Mostly Cloudy,partly-cloudy-day,,,11.57,11.57,8.24,0.8,6.5,272.0,11.75,0.75,1023.89,
51.510357,-0.116773,2016-02-04T14:00:00+0000,2016-02-04T12:00:00+0000,Mostly Cloudy,partly-cloudy-day,,,12.12,12.12,8.24,0.77,6.82,279.0,12.15,0.75,1024.05,
51.510357,-0.116773,2016-02-04T14:00:00+0000,2016-02-04T13:00:00+0000,Mostly Cloudy,partly-cloudy-day,,,12.62,12.62,8.22,0.75,6.45,281.0,12.15,0.75,1024.2,
51.510357,-0.116773,2016-02-04T14:00:00+0000,2016-02-04T14:00:00+0000,Mostly Cloudy,partly-cloudy-day,,,13.44,13.44,7.97,0.69,6.91,287.0,11.96,0.75,1024.35,
51.510357,-0.116773,2016-02-04T14:00:00+0000,2016-02-04T15:00:00+0000,Mostly Cloudy,partly-cloudy-day,,,13.4,13.4,7.92,0.69,5.87,289.0,12.15,0.75,1024.6,
51.510357,-0.116773,2016-02-04T14:00:00+0000,2016-02-04T16:00:00+0000,Mostly Cloudy,partly-cloudy-day,,,12.96,12.96,7.77,0.71,4.45,288.0,12.42,0.75,1025.13,
51.510357,-0.116773,2016-02-04T14:00:00+0000,2016-02-04T17:00:00+0000,Partly Cloudy,partly-cloudy-night,,,11.49,11.49,7.74,0.78,3.16,278.0,12.15,0.31,1025.59,
51.510357,-0.116773,2016-02-04T14:00:00+0000,2016-02-04T18:00:00+0000,Partly Cloudy,partly-cloudy-night,,,10.88,10.88,7.73,0.81,3.44,263.0,12.28,0.31,1025.95,
51.510357,-0.116773,2016-02-04T14:00:00+0000,2016-02-04T19:00:00+0000,Partly Cloudy,partly-cloudy-night,,,10.48,10.48,7.43,0.81,3.43,248.0,12.15,0.5,1026.31,
51.510357,-0.116773,2016-02-04T14:00:00+0000,2016-02-04T20:00:00+0000,Partly Cloudy,partly-cloudy-night,,,10.69,10.69,8.18,0.84,3.88,248.0,11.06,0.26,1026.37,
51.510357,-0.116773,2016-02-04T14:00:00+0000,2016-02-04T21:00:00+0000,Mostly Cloudy,partly-cloudy-night,,,10.31,10.31,8.21,0.87,3.63,243.0,11.44,0.69,1026.36,
51.510357,-0.116773,2016-02-04T14:00:00+0000,2016-02-04T22:00:00+0000,Mostly Cloudy,partly-cloudy-night,,,10.38,10.38,8.23,0.86,3.38,235.0,11.81,0.69,1026.0,
51.510357,-0.116773,2016-02-04T14:00:00+0000,2016-02-04T23:00:00+0000,Overcast,cloudy,,,10.42,10.42,8.31,0.87,3.9,242.0,11.81,1.0,1025.78,
