latitude,longitude,created_at_datetime,forecast_datetime,summary,icon,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,windSpeed,windBearing,visibility,cloudCover,pressure,ozone
51.510357,-0.116773,2016-03-25T14:00:00+0000,2016-03-25T00:00:00+0000,Clear,clear-night,,,8.65,6.21,8.02,0.96,4.3,221.0,9.03,,1009.68,
51.510357,-0.116773,2016-03-25T14:00:00+0000,2016-03-25T01:00:00+0000,Clear,clear-night,,,8.66,6.38,8.09,0.96,3.93,232.0,6.84,,1009.47,
51.510357,-0.116773,2016-03-25T14:00:00+0000,2016-03-25T02:00:00+0000,Clear,clear-night,,,8.64,6.47,8.14,0.97,3.73,235.0,8.0,,1009.25,
51.510357,-0.116773,2016-03-25T14:00:00+0000,2016-03-25T03:00:00+0000,Clear,clear-night,,,8.67,6.86,8.2,0.97,3.1,246.0,10.17,,1008.86,
51.510357,-0.116773,2016-03-25T14:00:00+0000,2016-03-25T04:00:00+0000,Clear,clear-night,,,8.69,7.01,8.31,0.97,2.89,267.0,7.66,,1008.85,
51.510357,-0.116773,2016-03-25T14:00:00+0000,2016-03-25T05:00:00+0000,Clear,clear-night,,,8.6,6.58,7.77,0.94,3.43,308.0,8.47,,1009.88,
51.510357,-0.116773,2016-03-25T14:00:00+0000,2016-03-25T06:00:00+0000,Clear,clear-day,,,8.08,5.89,6.62,0.91,3.51,319.0,10.94,0.0,1010.81,
51.510357,-0.116773,2016-03-25T14:00:00+0000,2016-03-25T07:00:00+0000,Clear,clear-day,,,7.93,5.53,5.78,0.86,3.84,318.0,12.3,0.16,1012.24,
51.510357,-0.116773,2016-03-25T14:00:00+0000,2016-03-25T08:00:00+0000,Clear,clear-day,,,8.17,5.6,4.93,0.8,4.33,332.0,12.31,0.07,1012.93,
51.510357,-0.116773,2016-03-25T14:00:00+0000,2016-03-25T09:00:00+0000,Clear,clear-day,,,9.64,7.41,4.57,0.71,4.34,331.0,12.6,0.11,1013.81,
51.510357,-0.116773,2016-03-25T14:00:00+0000,2016-03-25T10:00:00+0000,Clear,clear-day,,,10.79,10.79,4.14,0.63,4.28,338.0,12.15,0.16,1014.51,
51.510357,-0.116773,2016-03-25T14:00:00+0000,2016-03-25T11:00:00+0000,Partly Cloudy,partly-cloudy-day,,,11.92,11.92,3.55,0.57,4.12,343.0,12.42,0.31,1014.8,
51.510357,-0.116773,2016-03-25T14:00:00+0000,2016-03-25T12:00:00+0000,Partly Cloudy,partly-cloudy-day,,,12.54,12.54,3.19,0.53,2.83,323.0,12.15,0.31,1015.13,
51.510357,-0.116773,2016-03-25T14:00:00+0000,2016-03-25T13:00:00+0000,Partly Cloudy,partly-cloudy-day,,,13.8,13.8,3.42,0.5,2.28,319.0,12.42,0.31,1015.44,
51.510357,-0.116773,2016-03-25T14:00:00+0000,2016-03-25T14:00:00+0000,Clear,clear-day,,,13.96,13.96,3.13,0.48,3.1,280.0,12.15,0.21,1015.73,
51.510357,-0.116773,2016-03-25T14:00:00+0000,2016-03-25T15:00:00+0000,Partly Cloudy,partly-cloudy-day,,,14.92,14.92,3.34,0.46,3.58,266.0,12.7,0.31,1015.55,
51.510357,-0.116773,2016-03-25T14:00:00+0000,2016-03-25T16:00:00+0000,Clear,clear-day,,,14.17,14.17,2.57,0.46,2.57,271.0,13.07,0.16,1015.45,
51.510357,-0.116773,2016-03-25T14:00:00+0000,2016-03-25T17:00:00+0000,Clear,clear-day,,,13.63,13.63,2.61,0.47,2.9,239.0,13.6,0.13,1015.49,
51.510357,-0.116773,2016-03-25T14:00:00+0000,2016-03-25T18:00:00+0000,Partly Cloudy,partly-cloudy-day,,,12.27,12.27,3.27,0.54,3.23,217.0,13.55,0.26,1015.79,
51.510357,-0.116773,2016-03-25T14:00:00+0000,2016-03-25T19:00:00+0000,Clear,clear-night,,,10.99,10.99,4.14,0.63,3.71,189.0,14.05,0.11,1015.71,
51.510357,-0.116773,2016-03-25T14:00:00+0000,2016-03-25T20:00:00+0000,Clear,clear-night,,,9.61,7.74,3.74,0.67,3.54,197.0,14.05,0.0,1015.95,
51.510357,-0.116773,2016-03-25T14:00:00+0000,2016-03-25T21:00:00+0000,Clear,clear-night,,,8.98,7.04,3.82,0.7,3.43,203.0,13.04,0.0,1016.13,
51.510357,-0.116773,2016-03-25T14:00:00+0000,2016-03-25T22:00:00+0000,Clear,clear-night,,,8.76,6.63,4.1,0.73,3.69,192.0,13.04,0.0,1015.93,
51.510357,-0.116773,2016-03-25T14:00:00+0000,2016-03-25T23:00:00+0000,Clear,clear-night,,,7.89,5.86,4.01,0.76,3.18,175.0,13.04,0.0,1015.43,
