latitude,longitude,created_at_datetime,forecast_datetime,summary,icon,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,windSpeed,windBearing,visibility,cloudCover,pressure,ozone
51.510357,-0.116773,2015-12-31T14:00:00+0000,2015-12-31T00:00:00+0000,Clear,clear-night,,,10.13,10.13,8.11,0.87,5.85,232.0,10.57,,1005.37,
51.510357,-0.116773,2015-12-31T14:00:00+0000,2015-12-31T01:00:00+0000,Clear,clear-night,,,8.76,6.06,6.66,0.87,4.95,214.0,12.52,0.0,1005.48,
51.510357,-0.116773,2015-12-31T14:00:00+0000,2015-12-31T02:00:00+0000,Clear,clear-night,,,8.57,5.71,6.16,0.85,5.24,213.0,12.84,0.0,1006.11,
51.510357,-0.116773,2015-12-31T14:00:00+0000,2015-12-31T03:00:00+0000,Clear,clear-night,,,8.18,5.2,4.53,0.78,5.26,210.0,12.31,0.0,1006.64,
51.510357,-0.116773,2015-12-31T14:00:00+0000,2015-12-31T04:00:00+0000,Clear,clear-night,,,8.68,5.04,3.9,0.72,7.71,213.0,12.84,,1006.85,
51.510357,-0.116773,2015-12-31T14:00:00+0000,2015-12-31T05:00:00+0000,Clear,clear-night,,,8.56,4.69,3.88,0.72,8.4,221.0,12.23,0.0,1007.23,
51.510357,-0.116773,2015-12-31T14:00:00+0000,2015-12-31T06:00:00+0000,Clear,clear-night,,,8.13,4.26,3.88,0.75,7.96,225.0,12.84,0.0,1008.35,
51.510357,-0.116773,2015-12-31T14:00:00+0000,2015-12-31T07:00:00+0000,Partly Cloudy,partly-cloudy-night,,,8.08,4.36,3.41,0.72,7.39,226.0,12.25,0.31,1009.74,
51.510357,-0.116773,2015-12-31T14:00:00+0000,2015-12-31T08:00:00+0000,Clear,clear-night,,,8.05,4.39,3.59,0.73,7.13,234.0,12.15,0.21,1011.54,
51.510357,-0.116773,2015-12-31T14:00:00+0000,2015-12-31T09:00:00+0000,Clear,clear-day,,,8.04,4.54,2.78,0.69,6.63,233.0,12.71,0.13,1012.91,
51.510357,-0.116773,2015-12-31T14:00:00+0000,2015-12-31T10:00:00+0000,Clear,clear-day,,,8.33,4.91,2.76,0.68,6.63,228.0,13.29,0.11,1013.82,
51.510357,-0.116773,2015-12-31T14:00:00+0000,2015-12-31T11:00:00+0000,Clear,clear-day,,,9.81,6.89,2.86,0.62,6.37,225.0,12.84,0.0,1014.15,
51.510357,-0.116773,2015-12-31T14:00:00+0000,2015-12-31T12:00:00+0000,Clear,clear-day,,,10.7,10.7,3.5,0.61,6.37,214.0,12.15,0.16,1014.04,
51.510357,-0.116773,2015-12-31T14:00:00+0000,2015-12-31T13:00:00+0000,Clear,clear-day,,,10.51,10.51,4.56,0.67,7.33,210.0,12.15,0.21,1013.75,
51.510357,-0.116773,2015-12-31T14:00:00+0000,2015-12-31T14:00:00+0000,Partly Cloudy,partly-cloudy-day,,,10.92,10.92,4.86,0.66,8.31,201.0,12.15,0.31,1013.25,
51.510357,-0.116773,2015-12-31T14:00:00+0000,2015-12-31T15:00:00+0000,Mostly Cloudy,partly-cloudy-day,,,10.76,10.76,4.42,0.65,8.4,200.0,12.15,0.75,1013.26,
51.510357,-0.116773,2015-12-31T14:00:00+0000,2015-12-31T16:00:00+0000,Mostly Cloudy,partly-cloudy-night,,,10.69,10.69,4.49,0.65,8.44,195.0,12.15,0.75,1012.75,
51.510357,-0.116773,2015-12-31T14:00:00+0000,2015-12-31T17:00:00+0000,Mostly Cloudy,partly-cloudy-night,,,10.23,10.23,4.89,0.69,8.42,200.0,9.48,0.75,1012.79,
51.510357,-0.116773,2015-12-31T14:00:00+0000,2015-12-31T18:00:00+0000,Overcast,cloudy,,,8.09,4.68,6.22,0.88,6.41,220.0,11.46,1.0,1014.04,
51.510357,-0.116773,2015-12-31T14:00:00+0000,2015-12-31T19:00:00+0000,Mostly Cloudy,partly-cloudy-night,,,7.96,5.02,5.12,0.82,5.04,220.0,12.42,0.75,1014.92,
51.510357,-0.116773,2015-12-31T14:00:00+0000,2015-12-31T20:00:00+0000,Clear,clear-night,,,7.37,4.44,4.43,0.82,4.68,224.0,12.71,0.16,1015.8,
51.510357,-0.116773,2015-12-31T14:00:00+0000,2015-12-31T21:00:00+0000,Clear,clear-night,,,7.29,4.38,4.16,0.8,4.61,234.0,13.04,0.0,1016.72,
51.510357,-0.116773,2015-12-31T14:00:00+0000,2015-12-31T22:00:00+0000,Clear,clear-night,,,6.39,3.13,3.23,0.8,4.89,243.0,13.04,0.0,1018.1,
51.510357,-0.116773,2015-12-31T14:00:00+0000,2015-12-31T23:00:00+0000,Clear,clear-night,,,6.18,3.07,3.11,0.81,4.47,256.0,12.86,0.0,1019.6,
