latitude,longitude,created_at_datetime,forecast_datetime,summary,icon,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,windSpeed,windBearing,visibility,cloudCover,pressure,ozone
51.510357,-0.116773,2016-01-28T14:00:00+0000,2016-01-28T00:00:00+0000,Clear,clear-night,,,7.36,4.07,2.73,0.72,5.53,280.0,12.89,0.0,1016.92,
51.510357,-0.116773,2016-01-28T14:00:00+0000,2016-01-28T01:00:00+0000,Clear,clear-night,,,6.25,2.93,1.7,0.73,4.95,279.0,13.04,0.0,1018.24,
51.510357,-0.116773,2016-01-28T14:00:00+0000,2016-01-28T02:00:00+0000,Clear,clear-night,,,5.32,2.15,1.66,0.77,4.18,274.0,13.04,0.0,1019.54,
51.510357,-0.116773,2016-01-28T14:00:00+0000,2016-01-28T03:00:00+0000,Clear,clear-night,,,4.76,1.67,1.53,0.8,3.82,261.0,13.04,0.0,1020.55,
51.510357,-0.116773,2016-01-28T14:00:00+0000,2016-01-28T04:00:00+0000,Clear,clear-night,,,4.19,1.19,1.07,0.8,3.48,249.0,13.04,0.0,1021.48,
51.510357,-0.116773,2016-01-28T14:00:00+0000,2016-01-28T05:00:00+0000,Clear,clear-night,,,3.61,0.34,1.01,0.83,3.7,247.0,13.04,0.0,1022.45,
51.510357,-0.116773,2016-01-28T14:00:00+0000,2016-01-28T06:00:00+0000,Clear,clear-night,,,3.48,0.57,0.82,0.83,3.15,247.0,13.04,0.0,1023.45,
51.510357,-0.116773,2016-01-28T14:00:00+0000,2016-01-28T07:00:00+0000,Clear,clear-night,,,2.95,-0.13,0.29,0.83,3.22,238.0,14.05,0.11,1024.4,
51.510357,-0.116773,2016-01-28T14:00:00+0000,2016-01-28T08:00:00+0000,Clear,clear-day,,,2.97,-0.14,0.26,0.82,3.26,234.0,13.86,0.11,1024.96,
51.510357,-0.116773,2016-01-28T14:00:00+0000,2016-01-28T09:00:00+0000,Clear,clear-day,,,3.69,0.91,0.61,0.8,3.03,230.0,13.87,0.11,1025.39,
51.510357,-0.116773,2016-01-28T14:00:00+0000,2016-01-28T10:00:00+0000,Clear,clear-day,,,5.52,2.51,1.22,0.74,3.98,231.0,14.05,0.11,1025.48,
51.510357,-0.116773,2016-01-28T14:00:00+0000,2016-01-28T11:00:00+0000,Clear,clear-day,,,7.44,4.3,1.38,0.65,5.2,225.0,14.05,0.11,1025.68,
51.510357,-0.116773,2016-01-28T14:00:00+0000,2016-01-28T12:00:00+0000,Clear,clear-day,,,8.52,5.46,1.39,0.61,5.7,229.0,13.04,0.11,1025.43,
51.510357,-0.116773,2016-01-28T14:00:00+0000,2016-01-28T13:00:00+0000,Clear,clear-day,,,9.17,6.06,1.78,0.6,6.37,233.0,12.15,0.16,1025.0,
51.510357,-0.116773,2016-01-28T14:00:00+0000,2016-01-28T14:00:00+0000,Partly Cloudy,partly-cloudy-day,,,9.22,6.15,1.76,0.6,6.29,232.0,12.15,0.31,1024.58,
51.510357,-0.116773,2016-01-28T14:00:00+0000,2016-01-28T15:00:00+0000,Mostly Cloudy,partly-cloudy-day,,,9.15,6.02,1.66,0.59,6.44,230.0,12.15,0.75,1024.36,
51.510357,-0.116773,2016-01-28T14:00:00+0000,2016-01-28T16:00:00+0000,Partly Cloudy,partly-cloudy-day,,,8.92,5.93,1.42,0.59,5.82,224.0,12.15,0.26,1024.09,
51.510357,-0.116773,2016-01-28T14:00:00+0000,2016-01-28T17:00:00+0000,Clear,clear-night,,,8.03,4.76,1.71,0.64,5.94,221.0,12.39,0.11,1024.04,
51.510357,-0.116773,2016-01-28T14:00:00+0000,2016-01-28T18:00:00+0000,Partly Cloudy,partly-cloudy-night,,,7.97,4.64,2.19,0.67,6.05,217.0,14.05,0.26,1024.0,
51.510357,-0.116773,2016-01-28T14:00:00+0000,2016-01-28T19:00:00+0000,Clear,clear-night,,,7.59,3.95,2.84,0.72,6.66,217.0,13.7,0.11,1023.43,
51.510357,-0.116773,2016-01-28T14:00:00+0000,2016-01-28T20:00:00+0000,Partly Cloudy,partly-cloudy-night,,,8.07,4.41,3.37,0.72,7.19,219.0,13.7,0.26,1023.09,
51.510357,-0.116773,2016-01-28T14:00:00+0000,2016-01-28T21:00:00+0000,Mostly Cloudy,partly-cloudy-night,,,8.62,4.99,4.07,0.73,7.61,219.0,13.08,0.75,1022.55,
51.510357,-0.116773,2016-01-28T14:00:00+0000,2016-01-28T22:00:00+0000,Clear,clear-night,,,9.21,5.59,4.64,0.73,8.16,225.0,13.49,,1022.33,
51.510357,-0.116773,2016-01-28T14:00:00+0000,2016-01-28T23:00:00+0000,Clear,clear-night,,,9.25,5.63,5.62,0.78,8.27,227.0,12.34,,1021.86,
