latitude,longitude,created_at_datetime,forecast_datetime,summary,icon,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,windSpeed,windBearing,visibility,cloudCover,pressure,ozone
51.510357,-0.116773,2016-02-23T14:00:00+0000,2016-02-23T00:00:00+0000,Clear,clear-night,,,5.79,3.8,-0.82,0.62,2.54,292.0,13.04,0.0,1012.56,
51.510357,-0.116773,2016-02-23T14:00:00+0000,2016-02-23T01:00:00+0000,Clear,clear-night,,,5.28,3.39,-0.43,0.67,2.31,288.0,13.04,0.0,1012.79,
51.510357,-0.116773,2016-02-23T14:00:00+0000,2016-02-23T02:00:00+0000,Clear,clear-night,,,5.02,2.66,-0.02,0.7,2.84,283.0,13.04,0.0,1013.03,
51.510357,-0.116773,2016-02-23T14:00:00+0000,2016-02-23T03:00:00+0000,Clear,clear-night,,,5.14,2.59,0.2,0.7,3.11,288.0,12.78,0.0,1013.19,
51.510357,-0.116773,2016-02-23T14:00:00+0000,2016-02-23T04:00:00+0000,Clear,clear-night,,,4.75,2.26,0.67,0.75,2.92,286.0,12.71,0.0,1013.27,
51.510357,-0.116773,2016-02-23T14:00:00+0000,2016-02-23T05:00:00+0000,Clear,clear-night,,,4.93,2.73,0.72,0.74,2.61,283.0,12.89,0.0,1013.6,
51.510357,-0.116773,2016-02-23T14:00:00+0000,2016-02-23T06:00:00+0000,Clear,clear-night,,,4.21,1.53,1.12,0.8,3.03,284.0,12.71,0.0,1014.16,
51.510357,-0.116773,2016-02-23T14:00:00+0000,2016-02-23T07:00:00+0000,Partly Cloudy,partly-cloudy-night,,,4.21,1.67,1.27,0.81,2.85,290.0,12.42,0.39,1014.62,
51.510357,-0.116773,2016-02-23T14:00:00+0000,2016-02-23T08:00:00+0000,Clear,clear-day,,,4.73,2.24,1.74,0.81,2.91,289.0,13.7,0.13,1015.44,
51.510357,-0.116773,2016-02-23T14:00:00+0000,2016-02-23T09:00:00+0000,Clear,clear-day,,,6.12,3.43,2.2,0.76,3.65,302.0,12.25,0.13,1016.15,
51.510357,-0.116773,2016-02-23T14:00:00+0000,2016-02-23T10:00:00+0000,Partly Cloudy,partly-cloudy-day,,,6.85,4.33,2.04,0.71,3.63,317.0,12.15,0.31,1016.78,
51.510357,-0.116773,2016-02-23T14:00:00+0000,2016-02-23T11:00:00+0000,Partly Cloudy,partly-cloudy-day,,,7.53,4.93,1.99,0.68,4.06,328.0,12.15,0.31,1017.3,
51.510357,-0.116773,2016-02-23T14:00:00+0000,2016-02-23T12:00:00+0000,Partly Cloudy,partly-cloudy-day,,,8.31,6.06,1.51,0.62,3.73,335.0,12.15,0.31,1017.75,
51.510357,-0.116773,2016-02-23T14:00:00+0000,2016-02-23T13:00:00+0000,Partly Cloudy,partly-cloudy-day,,,8.09,6.02,1.09,0.61,3.34,337.0,12.15,0.31,1017.65,
51.510357,-0.116773,2016-02-23T14:00:00+0000,2016-02-23T14:00:00+0000,Mostly Cloudy,partly-cloudy-day,,,8.42,6.15,1.07,0.6,3.81,321.0,12.15,0.75,1017.97,
51.510357,-0.116773,2016-02-23T14:00:00+0000,2016-02-23T15:00:00+0000,Clear,clear-day,,,7.74,5.79,0.29,0.59,3.03,336.0,11.83,0.16,1018.29,
51.510357,-0.116773,2016-02-23T14:00:00+0000,2016-02-23T16:00:00+0000,Clear,clear-day,,,8.04,5.92,-0.67,0.54,3.39,335.0,12.15,0.13,1018.69,
51.510357,-0.116773,2016-02-23T14:00:00+0000,2016-02-23T17:00:00+0000,Clear,clear-day,,,7.37,5.64,-0.74,0.56,2.59,352.0,12.39,0.16,1019.24,
51.510357,-0.116773,2016-02-23T14:00:00+0000,2016-02-23T18:00:00+0000,Clear,clear-night,,,6.54,5.51,-0.95,0.59,1.67,3.0,12.39,0.11,1019.88,
51.510357,-0.116773,2016-02-23T14:00:00+0000,2016-02-23T19:00:00+0000,Clear,clear-night,,,5.66,5.66,-0.78,0.63,0.94,24.0,12.54,0.11,1020.51,
51.510357,-0.116773,2016-02-23T14:00:00+0000,2016-02-23T20:00:00+0000,Clear,clear-night,,,4.97,4.97,-1.28,0.64,0.58,54.0,13.7,0.0,1020.84,
51.510357,-0.116773,2016-02-23T14:00:00+0000,2016-02-23T21:00:00+0000,Clear,clear-night,,,4.17,4.17,-1.64,0.66,0.3,101.0,12.84,0.0,1021.02,
51.510357,-0.116773,2016-02-23T14:00:00+0000,2016-02-23T22:00:00+0000,Clear,clear-night,,,3.63,3.63,-1.63,0.68,0.22,54.0,12.89,0.0,1021.28,
51.510357,-0.116773,2016-02-23T14:00:00+0000,2016-02-23T23:00:00+0000,Clear,clear-night,,,2.68,2.68,-1.49,0.74,0.38,146.0,13.04,0.0,1021.28,
