latitude,longitude,created_at_datetime,forecast_datetime,summary,icon,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,windSpeed,windBearing,visibility,cloudCover,pressure,ozone
51.510357,-0.116773,2016-02-19T14:00:00+0000,2016-02-19T00:00:00+0000,Clear,clear-night,,,1.75,0.06,-0.77,0.83,1.63,233.0,13.04,0.0,1018.36,
51.510357,-0.116773,2016-02-19T14:00:00+0000,2016-02-19T01:00:00+0000,Clear,clear-night,,,1.2,-1.0,-0.86,0.86,1.95,237.0,13.04,0.0,1018.41,
51.510357,-0.116773,2016-02-19T14:00:00+0000,2016-02-19T02:00:00+0000,Clear,clear-night,,,0.74,-1.15,-0.78,0.9,1.66,249.0,12.89,0.0,1018.46,
51.510357,-0.116773,2016-02-19T14:00:00+0000,2016-02-19T03:00:00+0000,Clear,clear-night,,,0.79,-0.95,-0.39,0.92,1.57,226.0,12.55,0.0,1018.36,
51.510357,-0.116773,2016-02-19T14:00:00+0000,2016-02-19T04:00:00+0000,Clear,clear-night,,,0.64,-0.94,-0.84,0.9,1.44,222.0,12.3,0.0,1018.3,
51.510357,-0.116773,2016-02-19T14:00:00+0000,2016-02-19T05:00:00+0000,Clear,clear-night,,,0.2,-1.71,-0.95,0.92,1.62,212.0,11.35,0.0,1018.3,
51.510357,-0.116773,2016-02-19T14:00:00+0000,2016-02-19T06:00:00+0000,Clear,clear-night,,,-0.31,-2.53,-1.41,0.92,1.78,214.0,10.96,0.0,1018.48,
51.510357,-0.116773,2016-02-19T14:00:00+0000,2016-02-19T07:00:00+0000,Clear,clear-night,,,-0.06,-2.51,-0.76,0.95,1.98,200.0,11.18,0.09,1018.21,
51.510357,-0.116773,2016-02-19T14:00:00+0000,2016-02-19T08:00:00+0000,Clear,clear-day,,,0.56,-1.88,-0.19,0.95,2.06,210.0,11.75,0.11,1018.61,
51.510357,-0.116773,2016-02-19T14:00:00+0000,2016-02-19T09:00:00+0000,Clear,clear-day,,,3.22,0.69,1.49,0.88,2.61,212.0,13.24,0.11,1018.53,
51.510357,-0.116773,2016-02-19T14:00:00+0000,2016-02-19T10:00:00+0000,Clear,clear-day,,,5.56,2.53,1.91,0.77,4.03,209.0,13.2,0.11,1018.61,
51.510357,-0.116773,2016-02-19T14:00:00+0000,2016-02-19T11:00:00+0000,Clear,clear-day,,,7.87,4.77,2.37,0.68,5.38,208.0,12.15,0.11,1018.33,
51.510357,-0.116773,2016-02-19T14:00:00+0000,2016-02-19T12:00:00+0000,Clear,clear-day,,,8.97,5.87,2.47,0.64,6.2,217.0,12.02,0.22,1017.67,
51.510357,-0.116773,2016-02-19T14:00:00+0000,2016-02-19T13:00:00+0000,Partly Cloudy,partly-cloudy-day,,,9.02,5.76,1.93,0.61,6.73,218.0,12.15,0.31,1016.78,
51.510357,-0.116773,2016-02-19T14:00:00+0000,2016-02-19T14:00:00+0000,Mostly Cloudy,partly-cloudy-day,,,9.57,6.51,2.39,0.61,6.57,210.0,12.42,0.75,1015.85,
51.510357,-0.116773,2016-02-19T14:00:00+0000,2016-02-19T15:00:00+0000,Mostly Cloudy,partly-cloudy-day,,,9.04,5.74,2.62,0.64,6.87,205.0,12.15,0.75,1015.18,
51.510357,-0.116773,2016-02-19T14:00:00+0000,2016-02-19T16:00:00+0000,Mostly Cloudy,partly-cloudy-day,,,8.12,4.68,4.02,0.75,6.51,209.0,11.51,0.75,1014.59,
51.510357,-0.116773,2016-02-19T14:00:00+0000,2016-02-19T17:00:00+0000,Overcast,cloudy,,,7.91,4.31,4.52,0.79,6.83,201.0,11.14,1.0,1013.77,
51.510357,-0.116773,2016-02-19T14:00:00+0000,2016-02-19T18:00:00+0000,Overcast,cloudy,,,7.54,3.72,5.26,0.85,7.18,201.0,8.29,1.0,1013.19,
51.510357,-0.116773,2016-02-19T14:00:00+0000,2016-02-19T19:00:00+0000,Overcast,cloudy,,,7.53,3.43,6.02,0.9,8.12,199.0,7.35,1.0,1012.05,
51.510357,-0.116773,2016-02-19T14:00:00+0000,2016-02-19T20:00:00+0000,Overcast,cloudy,,,7.64,3.43,6.16,0.9,8.65,203.0,6.95,1.0,1010.93,
51.510357,-0.116773,2016-02-19T14:00:00+0000,2016-02-19T21:00:00+0000,Overcast,cloudy,,,8.12,4.31,6.28,0.88,7.7,210.0,6.87,1.0,1010.49,
51.510357,-0.116773,2016-02-19T14:00:00+0000,2016-02-19T22:00:00+0000,Overcast,cloudy,,,8.19,4.52,7.27,0.94,7.32,215.0,6.61,1.0,1009.99,
51.510357,-0.116773,2016-02-19T14:00:00+0000,2016-02-19T23:00:00+0000,Overcast,cloudy,,,8.69,5.38,7.71,0.93,6.63,215.0,10.7,1.0,1008.99,
