latitude,longitude,created_at_datetime,forecast_datetime,summary,icon,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,windSpeed,windBearing,visibility,cloudCover,pressure,ozone
51.510357,-0.116773,2016-02-12T14:00:00+0000,2016-02-12T00:00:00+0000,Clear,clear-night,,,3.15,1.17,1.24,0.87,2.04,159.0,12.18,0.07,1000.35,
51.510357,-0.116773,2016-02-12T14:00:00+0000,2016-02-12T01:00:00+0000,Clear,clear-night,,,2.66,0.75,1.16,0.9,1.9,140.0,11.73,0.0,999.71,
51.510357,-0.116773,2016-02-12T14:00:00+0000,2016-02-12T02:00:00+0000,Clear,clear-night,,,3.34,1.65,1.19,0.86,1.82,143.0,11.44,0.0,999.35,
51.510357,-0.116773,2016-02-12T14:00:00+0000,2016-02-12T03:00:00+0000,Clear,clear-night,,,2.97,0.97,1.22,0.88,2.03,115.0,11.46,0.0,998.5,
51.510357,-0.116773,2016-02-12T14:00:00+0000,2016-02-12T04:00:00+0000,Clear,clear-night,,,1.39,-1.13,0.62,0.95,2.27,120.0,11.62,,997.43,
51.510357,-0.116773,2016-02-12T14:00:00+0000,2016-02-12T05:00:00+0000,Clear,clear-night,,,3.05,0.64,1.32,0.88,2.45,104.0,10.56,0.0,996.8,
51.510357,-0.116773,2016-02-12T14:00:00+0000,2016-02-12T06:00:00+0000,Clear,clear-night,,,2.62,-0.07,1.43,0.92,2.66,100.0,10.07,0.18,996.08,
51.510357,-0.116773,2016-02-12T14:00:00+0000,2016-02-12T07:00:00+0000,Partly Cloudy,partly-cloudy-night,,,2.84,-0.1,1.57,0.91,3.01,98.0,10.28,0.26,995.44,
51.510357,-0.116773,2016-02-12T14:00:00+0000,2016-02-12T08:00:00+0000,Partly Cloudy,partly-cloudy-day,,,3.34,0.43,2.4,0.94,3.11,99.0,10.53,0.32,995.05,
51.510357,-0.116773,2016-02-12T14:00:00+0000,2016-02-12T09:00:00+0000,Clear,clear-day,,,4.21,1.23,2.78,0.9,3.46,101.0,10.44,0.13,994.81,
51.510357,-0.116773,2016-02-12T14:00:00+0000,2016-02-12T10:00:00+0000,Partly Cloudy,partly-cloudy-day,,,5.23,1.89,3.35,0.88,4.46,113.0,11.43,0.31,994.56,
51.510357,-0.116773,2016-02-12T14:00:00+0000,2016-02-12T11:00:00+0000,Mostly Cloudy,partly-cloudy-day,,,4.91,1.43,2.06,0.82,4.6,113.0,11.88,0.75,994.55,
51.510357,-0.116773,2016-02-12T14:00:00+0000,2016-02-12T12:00:00+0000,Overcast,cloudy,,,4.86,1.46,1.96,0.81,4.41,105.0,12.07,1.0,994.28,
51.510357,-0.116773,2016-02-12T14:00:00+0000,2016-02-12T13:00:00+0000,Mostly Cloudy,partly-cloudy-day,,,5.27,1.9,1.94,0.79,4.54,94.0,12.02,0.75,993.96,
51.510357,-0.116773,2016-02-12T14:00:00+0000,2016-02-12T14:00:00+0000,Mostly Cloudy,partly-cloudy-day,,,5.27,2.08,1.9,0.79,4.19,84.0,11.46,0.75,993.9,
51.510357,-0.116773,2016-02-12T14:00:00+0000,2016-02-12T15:00:00+0000,Mostly Cloudy,partly-cloudy-day,,,5.28,2.23,1.79,0.78,3.95,76.0,12.02,0.75,994.2,
51.510357,-0.116773,2016-02-12T14:00:00+0000,2016-02-12T16:00:00+0000,Mostly Cloudy,partly-cloudy-day,,,5.25,2.14,1.41,0.76,4.05,74.0,12.15,0.75,994.66,
51.510357,-0.116773,2016-02-12T14:00:00+0000,2016-02-12T17:00:00+0000,Partly Cloudy,partly-cloudy-day,,,5.18,2.44,1.76,0.78,3.41,72.0,12.1,0.5,994.9,
51.510357,-0.116773,2016-02-12T14:00:00+0000,2016-02-12T18:00:00+0000,Mostly Cloudy,partly-cloudy-night,,,5.09,2.63,1.83,0.79,2.98,74.0,12.15,0.75,995.25,
51.510357,-0.116773,2016-02-12T14:00:00+0000,2016-02-12T19:00:00+0000,Partly Cloudy,partly-cloudy-night,,,4.98,2.61,1.78,0.8,2.84,79.0,11.78,0.52,995.49,
51.510357,-0.116773,2016-02-12T14:00:00+0000,2016-02-12T20:00:00+0000,Mostly Cloudy,partly-cloudy-night,,,4.89,2.98,1.79,0.8,2.28,80.0,11.75,0.75,995.85,
51.510357,-0.116773,2016-02-12T14:00:00+0000,2016-02-12T21:00:00+0000,Partly Cloudy,partly-cloudy-night,,,4.91,3.26,2.06,0.82,2.0,86.0,11.8,0.5,996.15,
51.510357,-0.116773,2016-02-12T14:00:00+0000,2016-02-12T22:00:00+0000,Clear,clear-night,,,4.45,2.52,2.1,0.85,2.2,78.0,11.14,0.0,995.68,
51.510357,-0.116773,2016-02-12T14:00:00+0000,2016-02-12T23:00:00+0000,Clear,clear-night,,,3.99,1.37,1.97,0.87,2.91,83.0,9.85,0.0,994.75,
